iso3c,country,year,country_group,sector,pct_of_gdp
BRN,Brunei Darussalam,2023,ASEAN,Industry,61.7411860091314
BRN,Brunei Darussalam,2023,ASEAN,Services,38.8386100018623
BRN,Brunei Darussalam,2023,ASEAN,Manufacturing,10.3791339905719
BRN,Brunei Darussalam,2024,ASEAN,Agriculture,1.17447674380916
BRN,Brunei Darussalam,2024,ASEAN,Industry,61.6755225796828
BRN,Brunei Darussalam,2024,ASEAN,Services,38.9532912607223
BRN,Brunei Darussalam,2024,ASEAN,Manufacturing,10.6553156687942
KHM,Cambodia,1960,ASEAN,Agriculture,NA
KHM,Cambodia,1960,ASEAN,Industry,NA
KHM,Cambodia,1960,ASEAN,Services,NA
KHM,Cambodia,1960,ASEAN,Manufacturing,NA
KHM,Cambodia,1961,ASEAN,Agriculture,NA
KHM,Cambodia,1961,ASEAN,Industry,NA
KHM,Cambodia,1961,ASEAN,Services,NA
KHM,Cambodia,1961,ASEAN,Manufacturing,NA
KHM,Cambodia,1962,ASEAN,Agriculture,NA
KHM,Cambodia,1962,ASEAN,Industry,NA
KHM,Cambodia,1962,ASEAN,Services,NA
KHM,Cambodia,1962,ASEAN,Manufacturing,NA
KHM,Cambodia,1963,ASEAN,Agriculture,NA
KHM,Cambodia,1963,ASEAN,Industry,NA
KHM,Cambodia,1963,ASEAN,Services,NA
KHM,Cambodia,1963,ASEAN,Manufacturing,NA
KHM,Cambodia,1964,ASEAN,Agriculture,NA
KHM,Cambodia,1964,ASEAN,Industry,NA
KHM,Cambodia,1964,ASEAN,Services,NA
KHM,Cambodia,1964,ASEAN,Manufacturing,NA
KHM,Cambodia,1965,ASEAN,Agriculture,NA
KHM,Cambodia,1965,ASEAN,Industry,NA
KHM,Cambodia,1965,ASEAN,Services,NA
KHM,Cambodia,1965,ASEAN,Manufacturing,NA
KHM,Cambodia,1966,ASEAN,Agriculture,NA
KHM,Cambodia,1966,ASEAN,Industry,NA
KHM,Cambodia,1966,ASEAN,Services,NA
KHM,Cambodia,1966,ASEAN,Manufacturing,NA
KHM,Cambodia,1967,ASEAN,Agriculture,NA
KHM,Cambodia,1967,ASEAN,Industry,NA
KHM,Cambodia,1967,ASEAN,Services,NA
KHM,Cambodia,1967,ASEAN,Manufacturing,NA
KHM,Cambodia,1968,ASEAN,Agriculture,NA
KHM,Cambodia,1968,ASEAN,Industry,NA
KHM,Cambodia,1968,ASEAN,Services,NA
KHM,Cambodia,1968,ASEAN,Manufacturing,NA
KHM,Cambodia,1969,ASEAN,Agriculture,NA
KHM,Cambodia,1969,ASEAN,Industry,NA
KHM,Cambodia,1969,ASEAN,Services,NA
KHM,Cambodia,1969,ASEAN,Manufacturing,NA
KHM,Cambodia,1970,ASEAN,Agriculture,NA
KHM,Cambodia,1970,ASEAN,Industry,NA
KHM,Cambodia,1970,ASEAN,Services,NA
KHM,Cambodia,1970,ASEAN,Manufacturing,NA
KHM,Cambodia,1971,ASEAN,Agriculture,NA
KHM,Cambodia,1971,ASEAN,Industry,NA
KHM,Cambodia,1971,ASEAN,Services,NA
KHM,Cambodia,1971,ASEAN,Manufacturing,NA
KHM,Cambodia,1972,ASEAN,Agriculture,NA
KHM,Cambodia,1972,ASEAN,Industry,NA
KHM,Cambodia,1972,ASEAN,Services,NA
KHM,Cambodia,1972,ASEAN,Manufacturing,NA
KHM,Cambodia,1973,ASEAN,Agriculture,NA
KHM,Cambodia,1973,ASEAN,Industry,NA
KHM,Cambodia,1973,ASEAN,Services,NA
KHM,Cambodia,1973,ASEAN,Manufacturing,NA
KHM,Cambodia,1974,ASEAN,Agriculture,NA
KHM,Cambodia,1974,ASEAN,Industry,NA
KHM,Cambodia,1974,ASEAN,Services,NA
KHM,Cambodia,1974,ASEAN,Manufacturing,NA
